iter	Logloss
0	0.5229264832
1	0.4161818949
2	0.3166468302
3	0.2483774312
4	0.1894255575
5	0.149652888
6	0.1211082967
7	0.09578184764
8	0.07462979635
9	0.05996440887
10	0.04958864848
11	0.04185066223
12	0.03399011612
13	0.0281772995
14	0.02377395789
15	0.01929037094
16	0.01578987916
17	0.01363232772
18	0.0117029651
19	0.01037865798
20	0.008839744727
21	0.007690749168
22	0.006738651594
23	0.005849116643
24	0.005200813214
25	0.004715754986
26	0.00437167565
27	0.00398345391
28	0.003657144705
29	0.003353791634
30	0.00312187473
31	0.002896565994
32	0.002682687839
33	0.002504849633
34	0.002367161512
35	0.002244564295
36	0.002100986242
37	0.001945203344
38	0.001853492856
39	0.001756309271
40	0.001669560671
41	0.001600726247
42	0.001523518165
43	0.001445901195
44	0.001375055313
45	0.001302052935
46	0.001252423227
47	0.001205765903
48	0.001134606202
49	0.001092969974
50	0.001054986219
51	0.001021715204
52	0.0009829936425
53	0.0009497968356
54	0.0009260108074
55	0.0009023860097
56	0.0008685054382
57	0.0008441827695
58	0.000822815001
59	0.0008029386401
60	0.0007822369039
61	0.0007570151488
62	0.0007570167383
63	0.000736220032
64	0.0007132294774
65	0.0006953026851
66	0.0006836599112
67	0.0006639432907
68	0.0006639053424
69	0.0006435604393
70	0.0006435410182
71	0.0006435410182
72	0.0006435491641
73	0.0006254341205
74	0.0006254466375
75	0.0006073824068
76	0.0006073619425
77	0.0006073484321
78	0.000588794599
79	0.0005888074636
80	0.0005888146162
81	0.0005887852112
82	0.0005887989203
83	0.0005887830754
84	0.0005887753268
85	0.000567141821
86	0.0005671388408
87	0.0005671436091
88	0.0005671241383
89	0.0005671219528
90	0.0005671219528
91	0.0005671183765
92	0.000547025303
93	0.0005470129848
94	0.0005470129848
95	0.0005469855666
96	0.0005469438434
97	0.0005469551682
98	0.0005469474196
99	0.0005469537775
100	0.0005297759175
101	0.0005118576189
102	0.0005118514597
103	0.0005118504663
104	0.0005118517081
105	0.0005118517081
106	0.0005118431648
107	0.0005118360122
108	0.0005117854476
109	0.0005117725333
110	0.0005117719372
111	0.0005117488404
112	0.0005117261906
113	0.0005117526154
114	0.0005117526154
115	0.0005117288232
116	0.0005117111405
117	0.0005117184917
118	0.000511725843
119	0.0005117058754
120	0.0005116931597
121	0.0005116971334
122	0.0005116854111
123	0.0005116828283
124	0.0004941248397
125	0.0004941252371
126	0.0004941252371
127	0.0004941256344
128	0.0004941206674
129	0.0004941206674
130	0.000494102786
131	0.0004940898716
132	0.0004940928519
133	0.0004940825204
134	0.0004940948387
135	0.0004940839112
136	0.0004940761626
137	0.0004940761626
138	0.0004940855006
139	0.0004940625528
140	0.0004940516253
141	0.0004940426846
142	0.0004940401018
143	0.0004940401018
144	0.0004940401018
145	0.0004940250019
146	0.0004940265914
147	0.0004940257967
148	0.0004940253993
149	0.000493991822
150	0.000493991822
151	0.0004939995706
152	0.0004939995706
153	0.0004939995706
154	0.0004939995706
155	0.0004939908286
156	0.000493988047
157	0.000493988047
158	0.0004939876497
159	0.0004939669371
160	0.0004939695199
161	0.0004939681292
162	0.0004939528306
163	0.0004938484728
